Code,Cost
14001 ,"$2,128.00 "
14020 ,"$1,844.00 "
14021 ,"$2,294.00 "
14040 ,"$3,098.00 "
14041 ,"$3,330.00 "
14060 ,"$2,040.00 "
14061 ,"$3,582.00 "
14301 ,"$3,832.00 "
14302 ,$854.00 
14350 ,"$2,449.00 "
15002 ,$950.00 
15003 ,$425.00 
15004 ,"$1,066.00 "
15005 ,$500.00 
15040 ,$696.00 
15050 ,"$1,562.00 "
15100 ,"$2,314.00 "
15101 ,$508.00 
15120 ,"$3,023.00 "
15121 ,$730.00 
15200 ,"$2,168.00 "
15201 ,$386.00 
15220 ,"$2,047.00 "
15221 ,$450.00 
15240 ,"$3,321.00 "
15241 ,$715.00 
15260 ,"$3,596.00 "
15261 ,"$1,180.00 "
15271 ,$400.00 
15272 ,$71.00 
15273 ,"$1,001.00 "
15274 ,$237.00 
15275 ,$418.00 
15276 ,$92.00 
15277 ,$912.00 
15278 ,$249.00 
15570 ,"$3,239.00 "
15572 ,"$3,152.00 "
15574 ,"$1,950.00 "
15576 ,"$2,205.00 "
15600 ,$895.00 
15610 ,$924.00 
15620 ,"$1,145.00 "
15630 ,"$1,196.00 "
15650 ,"$1,270.00 "
15730 ,"$5,573.00 "
15731 ,"$3,989.00 "
15732 ,"$4,529.00 "
15733 ,"$3,801.00 "
15734 ,"$6,172.00 "
15736 ,"$4,609.00 "
15738 ,"$4,812.00 "
15740 ,"$3,589.00 "
15750 ,"$3,255.00 "
15756 ,"$9,419.00 "
15757 ,"$8,329.00 "
15758 ,"$9,403.00 "
15760 ,"$2,378.00 "
15769 ,"$1,291.00 "
15770 ,"$2,145.00 "
15771 ,"$1,476.00 "
15772 ,$466.00 
15773 ,"$1,489.00 "
15774 ,$452.00 
15777 ,$566.00 
15780 ,"$2,326.00 "
15781 ,"$1,460.00 "
15782 ,"$1,656.00 "
15783 ,"$1,230.00 "
15786 ,$636.00 
15787 ,$124.00 
15788 ,$803.00 
15789 ,"$1,431.00 "
15819 ,"$3,185.00 "
15820 ,"$1,512.00 "
15821 ,"$1,623.00 "
15822 ,"$1,203.00 "
15823 ,"$1,624.00 "
15824 ,"$2,647.00 "
15825 ,"$4,557.00 "
15828 ,"$9,835.00 "
15829 ,"$10,991.0"
15830 ,"$4,198.00 "
15832 ,"$3,284.00 "
15833 ,"$3,030.00 "
15834 ,"$3,146.00 "
15835 ,"$3,340.00 "
15836 ,"$2,819.00 "
15838 ,"$1,630.00 "
15839 ,"$3,144.00 "
15840 ,"$3,594.00 "
15841 ,"$5,000.00 "
15845 ,"$3,565.00 "
15847 ,"$1,493.00 "
15850 ,$240.00 
15851 ,$895.00 
15852 ,$125.00 
15860 ,$450.00 
15876 ,"$4,704.00 "
15877 ,"$2,335.00 "
15878 ,"$2,006.00 "
15879 ,"$2,266.00 "
15920 ,"$1,592.00 "
15931 ,"$2,476.00 "
15933 ,"$3,055.00 "
15934 ,"$3,374.00 "
15935 ,"$2,910.00 "
15936 ,"$3,196.00 "
15937 ,"$3,711.00 "
15940 ,"$1,890.00 "
15941 ,"$3,289.00 "
15944 ,"$3,217.00 "
15946 ,"$6,661.00 "
15950 ,"$1,640.00 "
15956 ,"$4,150.00 "
15958 ,"$3,596.00 "
16020 ,$219.00 
16025 ,$370.00 
16030 ,$466.00 
16035 ,$895.00 
16036 ,$207.00 
17000 ,$187.00 
17003 ,$24.00 
17004 ,$418.00 
17106 ,$906.00 
17107 ,"$1,132.09 "
17108 ,"$1,690.00 "
17110 ,$296.00 
17111 ,$347.00 
17250 ,$226.00 
17260 ,$256.00 
17261 ,$385.00 
17262 ,$467.00 
17263 ,$508.00 
17264 ,$544.00 
17266 ,$621.00 
17270 ,$393.00 
17271 ,$433.00 
17272 ,$496.00 
17273 ,$552.00 
17274 ,$620.45 
17276 ,$752.00 
17280 ,$367.00 
17281 ,$472.00 
17282 ,$542.00 
17283 ,$647.00 
17284 ,$702.00 
17286 ,$899.00 
17311 ,"$2,622.00 "
17312 ,"$1,053.00 "
17313 ,"$1,645.00 "
17314 ,"$1,006.00 "
17315 ,$208.00 
17340 ,$130.00 
17380 ,$190.00 
19000 ,$300.00 
19001 ,$77.00 
19020 ,"$1,261.00 "
19030 ,$382.00 
19081 ,"$1,891.00 "
19082 ,"$1,349.00 "
19083 ,"$1,654.00 "
19084 ,"$1,331.00 "
19085 ,"$2,505.00 "
19086 ,"$2,005.00 "
19100 ,$410.00 
19101 ,$896.00 
19110 ,"$1,305.00 "
19112 ,$880.00 
19120 ,"$1,353.00 "
19125 ,"$1,495.00 "
19126 ,$436.00 
19260 ,"$3,164.00 "
19271 ,"$3,906.00 "
19272 ,"$3,807.00 "
19281 ,$603.00 
19282 ,$420.00 
19283 ,$685.00 
19285 ,"$1,157.00 "
19286 ,$971.00 
